% R,Z,IsoLevel
5.090918044,3.06228338,45
5.109356894,3.071532489,45
5.127833086,3.080976488,45
5.146347345,3.090619157,45
5.164900396,3.100464287,45
5.166666667,3.101336817,45
5.183333333,3.110389322,45
5.183496693,3.110481833,45
5.20217631,3.120330914,45
5.220899606,3.130393706,45
5.239667395,3.140674196,45
5.258480488,3.151176354,45
5.277339691,3.161904125,45
5.296245805,3.17286142,45
5.31519962,3.18405211,45
5.316666667,3.184863758,45
5.333333333,3.194784566,45
5.334167427,3.195311258,45
5.353125543,3.206522993,45
5.372133583,3.217978998,45
5.391192319,3.229683054,45
5.410302504,3.24163884,45
5.429464867,3.253849924,45
5.448680111,3.26631975,45
5.45,3.267123871,45
5.466666667,3.277991974,45
5.468012338,3.278923009,45
5.487468924,3.291663641,45
5.506986019,3.304680596,45
5.526564276,3.317976859,45
5.546204298,3.331555183,45
5.565906634,3.345418075,45
5.566666667,3.345923138,45
5.583333333,3.357609635,45
5.585618499,3.359324481,45
5.605377293,3.373445193,45
5.625201051,3.387862575,45
5.64509007,3.402577985,45
5.665044562,3.41759239,45
5.666666667,3.418751692,45
5.683333333,3.43984308,45
5.689262422,3.450410378,45
5.7,3.469158882,45
5.716666667,3.498968492,45
5.71769437,3.500833015,45
5.746399516,3.552426495,45
5.75,3.558853375,45
5.766666667,3.589316805,45
5.776439917,3.607648235,45
5.783333333,3.620312188,45
5.8,3.651829071,45
5.807593356,3.666630094,45
5.816666667,3.683947741,45
5.833333333,3.716832342,45
5.840641737,3.731760987,45
5.85,3.750525049,45
5.866666667,3.785230191,45
5.876925465,3.807426795,45
5.883333333,3.821048358,45
5.9,3.858293554,45
5.916666667,3.897007597,45
5.920219431,3.905799357,45
5.933333333,3.937852361,45
5.95,3.981065283,45
5.966666667,4.027215233,45
5.983333333,4.077208141,45
6,4.132741772,45
6.016666667,4.196355776,45
6.033333333,4.272828233,45
6.033776512,4.275,45
6.04185577,4.321428571,45
6.048366647,4.367857143,45
6.05,4.382797389,45
6.053057347,4.410714286,45
6.056432135,4.453571429,45
6.058337903,4.492857143,45
6.059102715,4.532142857,45
6.058800211,4.567857143,45
6.057536537,4.603571429,45
6.055565194,4.635714286,45
